Nr,Status,Hochschule,Domain,Ahrefs_DR,Linked_Domains_dofollow,Outgoing_Links_dofollow
-,AUSGESCHLOSSEN,Hochschule für Musik und Tanz Köln,hfmt-koeln.de,67.0,496,53032
-,AUSGESCHLOSSEN,Hochschule für katholische Kirchenmusik und Musikpädagogik Regensburg,hfkm-regensburg.de,41.0,55,2059
-,AUSGESCHLOSSEN,Hochschule für Kirchenmusik Heidelberg,hfk-heidelberg.de,38.0,0,0
-,KEIN FUND,Hochschule für evangelische Kirchenmusik Bayreuth,hfkm-bayreuth.de,0.0,0,0
P102,PRÜFEN (Verlinkung),Staatliche Akademie der Bildenden Künste Karlsruhe,kunstakademie-karlsruhe.de,51.0,189,12217
P103,PRÜFEN (Verlinkung),Hochschule für Gestaltung Offenbach (HfG Offenbach),hfg-offenbach.de,68.0,3349,215828
P104,PRÜFEN (Verlinkung),Staatliche Hochschule für Gestaltung Karlsruhe (HfG Karlsruhe),hfg-karlsruhe.de,69.0,1385,68254
P105,PRÜFEN (Verlinkung),Burg Giebichenstein Kunsthochschule Halle,burg-halle.de,72.0,6878,227878
P106,PRÜFEN (Verlinkung),Muthesius Kunsthochschule Kiel,muthesius-kunsthochschule.de,66.0,0,0
P107,PRÜFEN (Verlinkung),Kunsthochschule für Medien Köln (KHM),khm.de,71.0,3447,175036
P108,PRÜFEN (Verlinkung),Hochschule für Künste Bremen (HfK Bremen),hfk-bremen.de,70.0,1351,91696
-,KEIN FUND,Hochschule für Gestaltung Schwäbisch Gmünd (HfG Gmünd),hfg-gmuend.de,70.0,611,7065
S50,SPONSORING-SEITE,Folkwang Universität der Künste Essen,folkwang-uni.de,71.0,1186,45821
P109,PRÜFEN (Verlinkung),Bauhaus-Universität Weimar,uni-weimar.de,78.0,8038,364715
P110,PRÜFEN (Verlinkung),"Alanus Hochschule für Kunst und Gesellschaft, Alfter",alanus.edu,70.0,88,12516
P111,PRÜFEN (Verlinkung),Hochschule für Musik und Theater München,hmtm.de,64.0,300,23427
32,LINK VERIFIZIERT,Hochschule für Musik und Theater Hamburg,hfmt-hamburg.de,72.0,2135,2352943
P112,PRÜFEN (Verlinkung),Hochschule für Musik und Theater Leipzig,hmt-leipzig.de,67.0,619,58882
P113,PRÜFEN (Verlinkung),Hochschule für Musik Hanns Eisler Berlin,hfm-berlin.de,63.0,229,35310
P114,PRÜFEN (Verlinkung),Hochschule für Musik Carl Maria von Weber Dresden,hfmdd.de,61.0,342,66416
-,AUSGESCHLOSSEN,Hochschule für Musik Freiburg,mh-freiburg.de,63.0,1154,73477
-,AUSGESCHLOSSEN,Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,hmdk-stuttgart.de,64.0,42,10203
P115,PRÜFEN (Verlinkung),Hochschule für Musik Karlsruhe,hfm-karlsruhe.de,61.0,589,3598
P116,PRÜFEN (Verlinkung),Hochschule für Musik und Darstellende Kunst Mannheim,muho-mannheim.de,64.0,515,14153
P117,PRÜFEN (Verlinkung),Hochschule für Musik Trossingen,hfm-trossingen.de,59.0,371,7037
-,KEIN FUND,Hochschule für Musik Würzburg,hfm-wuerzburg.de,60.0,1008,32283
